,activeflag,businesstype,curvetype,documentid,documentrevnum,documenttype,powersystemresourcetype,processtype,quantity,resolution,settlementdate,settlementperiod,timeseriesid
0,True,Solar generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121210,1,Actual generation per type,Solar,Realised,0.0,PT30M,2018-04-25,1,NGET-EMFIP-AGPT-TS-00614126
1,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121210,1,Actual generation per type,Wind Offshore,Realised,2805.465,PT30M,2018-04-25,1,NGET-EMFIP-AGPT-TS-00614127
2,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121210,1,Actual generation per type,Wind Onshore,Realised,2749.874,PT30M,2018-04-25,1,NGET-EMFIP-AGPT-TS-00614128
3,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121210,1,Actual generation per type,Other,Realised,128.0,PT30M,2018-04-25,1,NGET-EMFIP-AGPT-TS-00614129
4,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121210,1,Actual generation per type,Nuclear,Realised,7083.0,PT30M,2018-04-25,1,NGET-EMFIP-AGPT-TS-00614130
5,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121210,1,Actual generation per type,Fossil Oil,Realised,0.0,PT30M,2018-04-25,1,NGET-EMFIP-AGPT-TS-00614131
6,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121210,1,Actual generation per type,Fossil Gas,Realised,7689.0,PT30M,2018-04-25,1,NGET-EMFIP-AGPT-TS-00614132
7,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121210,1,Actual generation per type,Fossil Hard coal,Realised,0.0,PT30M,2018-04-25,1,NGET-EMFIP-AGPT-TS-00614133
8,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121210,1,Actual generation per type,Hydro Run-of-river and poundage,Realised,209.0,PT30M,2018-04-25,1,NGET-EMFIP-AGPT-TS-00614134
9,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121210,1,Actual generation per type,Hydro Pumped Storage,Realised,0.0,PT30M,2018-04-25,1,NGET-EMFIP-AGPT-TS-00614135
10,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121210,1,Actual generation per type,Biomass,Realised,1217.0,PT30M,2018-04-25,1,NGET-EMFIP-AGPT-TS-00614136
11,True,Solar generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121211,1,Actual generation per type,Solar,Realised,0.0,PT30M,2018-04-25,2,NGET-EMFIP-AGPT-TS-00614137
12,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121211,1,Actual generation per type,Wind Offshore,Realised,2923.515,PT30M,2018-04-25,2,NGET-EMFIP-AGPT-TS-00614138
13,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121211,1,Actual generation per type,Wind Onshore,Realised,2938.015,PT30M,2018-04-25,2,NGET-EMFIP-AGPT-TS-00614139
14,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121211,1,Actual generation per type,Other,Realised,129.0,PT30M,2018-04-25,2,NGET-EMFIP-AGPT-TS-00614140
15,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121211,1,Actual generation per type,Nuclear,Realised,7090.0,PT30M,2018-04-25,2,NGET-EMFIP-AGPT-TS-00614141
16,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121211,1,Actual generation per type,Fossil Oil,Realised,0.0,PT30M,2018-04-25,2,NGET-EMFIP-AGPT-TS-00614142
17,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121211,1,Actual generation per type,Fossil Gas,Realised,7771.0,PT30M,2018-04-25,2,NGET-EMFIP-AGPT-TS-00614143
18,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121211,1,Actual generation per type,Fossil Hard coal,Realised,0.0,PT30M,2018-04-25,2,NGET-EMFIP-AGPT-TS-00614144
19,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121211,1,Actual generation per type,Hydro Run-of-river and poundage,Realised,207.0,PT30M,2018-04-25,2,NGET-EMFIP-AGPT-TS-00614145
20,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121211,1,Actual generation per type,Hydro Pumped Storage,Realised,0.0,PT30M,2018-04-25,2,NGET-EMFIP-AGPT-TS-00614146
21,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121211,1,Actual generation per type,Biomass,Realised,1226.0,PT30M,2018-04-25,2,NGET-EMFIP-AGPT-TS-00614147
22,True,Solar generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121212,1,Actual generation per type,Solar,Realised,0.0,PT30M,2018-04-25,3,NGET-EMFIP-AGPT-TS-00614148
23,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121212,1,Actual generation per type,Wind Offshore,Realised,2727.037,PT30M,2018-04-25,3,NGET-EMFIP-AGPT-TS-00614149
24,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121212,1,Actual generation per type,Wind Onshore,Realised,3034.438,PT30M,2018-04-25,3,NGET-EMFIP-AGPT-TS-00614150
25,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121212,1,Actual generation per type,Other,Realised,130.0,PT30M,2018-04-25,3,NGET-EMFIP-AGPT-TS-00614151
26,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121212,1,Actual generation per type,Nuclear,Realised,7136.0,PT30M,2018-04-25,3,NGET-EMFIP-AGPT-TS-00614152
27,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121212,1,Actual generation per type,Fossil Oil,Realised,0.0,PT30M,2018-04-25,3,NGET-EMFIP-AGPT-TS-00614153
28,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121212,1,Actual generation per type,Fossil Gas,Realised,7470.0,PT30M,2018-04-25,3,NGET-EMFIP-AGPT-TS-00614154
29,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121212,1,Actual generation per type,Fossil Hard coal,Realised,0.0,PT30M,2018-04-25,3,NGET-EMFIP-AGPT-TS-00614155
30,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121212,1,Actual generation per type,Hydro Run-of-river and poundage,Realised,205.0,PT30M,2018-04-25,3,NGET-EMFIP-AGPT-TS-00614156
31,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121212,1,Actual generation per type,Hydro Pumped Storage,Realised,0.0,PT30M,2018-04-25,3,NGET-EMFIP-AGPT-TS-00614157
32,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121212,1,Actual generation per type,Biomass,Realised,1195.0,PT30M,2018-04-25,3,NGET-EMFIP-AGPT-TS-00614158
33,True,Solar generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121213,1,Actual generation per type,Solar,Realised,0.0,PT30M,2018-04-25,4,NGET-EMFIP-AGPT-TS-00614159
34,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121213,1,Actual generation per type,Wind Offshore,Realised,2526.142,PT30M,2018-04-25,4,NGET-EMFIP-AGPT-TS-00614160
35,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121213,1,Actual generation per type,Wind Onshore,Realised,2984.292,PT30M,2018-04-25,4,NGET-EMFIP-AGPT-TS-00614161
36,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121213,1,Actual generation per type,Other,Realised,128.0,PT30M,2018-04-25,4,NGET-EMFIP-AGPT-TS-00614162
37,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121213,1,Actual generation per type,Nuclear,Realised,7136.0,PT30M,2018-04-25,4,NGET-EMFIP-AGPT-TS-00614163
38,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121213,1,Actual generation per type,Fossil Oil,Realised,0.0,PT30M,2018-04-25,4,NGET-EMFIP-AGPT-TS-00614164
39,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121213,1,Actual generation per type,Fossil Gas,Realised,7885.0,PT30M,2018-04-25,4,NGET-EMFIP-AGPT-TS-00614165
40,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121213,1,Actual generation per type,Fossil Hard coal,Realised,0.0,PT30M,2018-04-25,4,NGET-EMFIP-AGPT-TS-00614166
41,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121213,1,Actual generation per type,Hydro Run-of-river and poundage,Realised,183.0,PT30M,2018-04-25,4,NGET-EMFIP-AGPT-TS-00614167
42,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121213,1,Actual generation per type,Hydro Pumped Storage,Realised,0.0,PT30M,2018-04-25,4,NGET-EMFIP-AGPT-TS-00614168
43,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121213,1,Actual generation per type,Biomass,Realised,1135.0,PT30M,2018-04-25,4,NGET-EMFIP-AGPT-TS-00614169
44,True,Solar generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121214,1,Actual generation per type,Solar,Realised,0.0,PT30M,2018-04-25,5,NGET-EMFIP-AGPT-TS-00614170
45,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121214,1,Actual generation per type,Wind Offshore,Realised,2701.563,PT30M,2018-04-25,5,NGET-EMFIP-AGPT-TS-00614171
46,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121214,1,Actual generation per type,Wind Onshore,Realised,3031.121,PT30M,2018-04-25,5,NGET-EMFIP-AGPT-TS-00614172
47,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121214,1,Actual generation per type,Other,Realised,128.0,PT30M,2018-04-25,5,NGET-EMFIP-AGPT-TS-00614173
48,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121214,1,Actual generation per type,Nuclear,Realised,7141.0,PT30M,2018-04-25,5,NGET-EMFIP-AGPT-TS-00614174
49,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121214,1,Actual generation per type,Fossil Oil,Realised,0.0,PT30M,2018-04-25,5,NGET-EMFIP-AGPT-TS-00614175
50,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121214,1,Actual generation per type,Fossil Gas,Realised,7665.0,PT30M,2018-04-25,5,NGET-EMFIP-AGPT-TS-00614176
51,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121214,1,Actual generation per type,Fossil Hard coal,Realised,0.0,PT30M,2018-04-25,5,NGET-EMFIP-AGPT-TS-00614177
52,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121214,1,Actual generation per type,Hydro Run-of-river and poundage,Realised,183.0,PT30M,2018-04-25,5,NGET-EMFIP-AGPT-TS-00614178
53,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121214,1,Actual generation per type,Hydro Pumped Storage,Realised,0.0,PT30M,2018-04-25,5,NGET-EMFIP-AGPT-TS-00614179
54,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121214,1,Actual generation per type,Biomass,Realised,1130.0,PT30M,2018-04-25,5,NGET-EMFIP-AGPT-TS-00614180
55,True,Solar generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121215,1,Actual generation per type,Solar,Realised,0.0,PT30M,2018-04-25,6,NGET-EMFIP-AGPT-TS-00614181
56,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121215,1,Actual generation per type,Wind Offshore,Realised,2726.968,PT30M,2018-04-25,6,NGET-EMFIP-AGPT-TS-00614182
57,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121215,1,Actual generation per type,Wind Onshore,Realised,3206.457,PT30M,2018-04-25,6,NGET-EMFIP-AGPT-TS-00614183
58,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121215,1,Actual generation per type,Other,Realised,125.0,PT30M,2018-04-25,6,NGET-EMFIP-AGPT-TS-00614184
59,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121215,1,Actual generation per type,Nuclear,Realised,7163.0,PT30M,2018-04-25,6,NGET-EMFIP-AGPT-TS-00614185
60,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121215,1,Actual generation per type,Fossil Oil,Realised,0.0,PT30M,2018-04-25,6,NGET-EMFIP-AGPT-TS-00614186
61,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121215,1,Actual generation per type,Fossil Gas,Realised,7132.0,PT30M,2018-04-25,6,NGET-EMFIP-AGPT-TS-00614187
62,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121215,1,Actual generation per type,Fossil Hard coal,Realised,0.0,PT30M,2018-04-25,6,NGET-EMFIP-AGPT-TS-00614188
63,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121215,1,Actual generation per type,Hydro Run-of-river and poundage,Realised,183.0,PT30M,2018-04-25,6,NGET-EMFIP-AGPT-TS-00614189
64,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121215,1,Actual generation per type,Hydro Pumped Storage,Realised,0.0,PT30M,2018-04-25,6,NGET-EMFIP-AGPT-TS-00614190
65,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121215,1,Actual generation per type,Biomass,Realised,1110.0,PT30M,2018-04-25,6,NGET-EMFIP-AGPT-TS-00614191
66,True,Solar generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121216,1,Actual generation per type,Solar,Realised,0.0,PT30M,2018-04-25,7,NGET-EMFIP-AGPT-TS-00614192
67,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121216,1,Actual generation per type,Wind Offshore,Realised,2663.102,PT30M,2018-04-25,7,NGET-EMFIP-AGPT-TS-00614193
68,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121216,1,Actual generation per type,Wind Onshore,Realised,3098.728,PT30M,2018-04-25,7,NGET-EMFIP-AGPT-TS-00614194
69,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121216,1,Actual generation per type,Other,Realised,125.0,PT30M,2018-04-25,7,NGET-EMFIP-AGPT-TS-00614195
70,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121216,1,Actual generation per type,Nuclear,Realised,7154.0,PT30M,2018-04-25,7,NGET-EMFIP-AGPT-TS-00614196
71,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121216,1,Actual generation per type,Fossil Oil,Realised,0.0,PT30M,2018-04-25,7,NGET-EMFIP-AGPT-TS-00614197
72,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121216,1,Actual generation per type,Fossil Gas,Realised,6980.0,PT30M,2018-04-25,7,NGET-EMFIP-AGPT-TS-00614198
73,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121216,1,Actual generation per type,Fossil Hard coal,Realised,0.0,PT30M,2018-04-25,7,NGET-EMFIP-AGPT-TS-00614199
74,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121216,1,Actual generation per type,Hydro Run-of-river and poundage,Realised,175.0,PT30M,2018-04-25,7,NGET-EMFIP-AGPT-TS-00614200
75,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121216,1,Actual generation per type,Hydro Pumped Storage,Realised,0.0,PT30M,2018-04-25,7,NGET-EMFIP-AGPT-TS-00614201
76,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121216,1,Actual generation per type,Biomass,Realised,1151.0,PT30M,2018-04-25,7,NGET-EMFIP-AGPT-TS-00614202
77,True,Solar generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121226,1,Actual generation per type,Solar,Realised,0.0,PT30M,2018-04-25,8,NGET-EMFIP-AGPT-TS-00614203
78,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121226,1,Actual generation per type,Wind Offshore,Realised,2595.674,PT30M,2018-04-25,8,NGET-EMFIP-AGPT-TS-00614204
79,True,Wind generation,Sequential fixed size block,NGET-EMFIP-AGPT-00121226,1,Actual generation per type,Wind Onshore,Realised,3208.151,PT30M,2018-04-25,8,NGET-EMFIP-AGPT-TS-00614205
80,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121226,1,Actual generation per type,Other,Realised,124.0,PT30M,2018-04-25,8,NGET-EMFIP-AGPT-TS-00614206
81,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121226,1,Actual generation per type,Nuclear,Realised,7166.0,PT30M,2018-04-25,8,NGET-EMFIP-AGPT-TS-00614207
82,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121226,1,Actual generation per type,Fossil Oil,Realised,0.0,PT30M,2018-04-25,8,NGET-EMFIP-AGPT-TS-00614208
83,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121226,1,Actual generation per type,Fossil Gas,Realised,7040.0,PT30M,2018-04-25,8,NGET-EMFIP-AGPT-TS-00614209
84,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121226,1,Actual generation per type,Fossil Hard coal,Realised,0.0,PT30M,2018-04-25,8,NGET-EMFIP-AGPT-TS-00614210
85,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121226,1,Actual generation per type,Hydro Run-of-river and poundage,Realised,172.0,PT30M,2018-04-25,8,NGET-EMFIP-AGPT-TS-00614211
86,True,Production,Sequential fixed size block,NGET-EMFIP-AGPT-00121226,1,Actual generation per type,Hydro Pumped Storage,Realised,0.0,PT30M,2018-04-25,8,NGET-EMFIP-AGPT-TS-00614212
